NAME_2,mean_u10,mean_v10,phase,wind_speed
Hefei,-1.0137990881972907,-0.3422550004147362,Phase0,1.0700126525133005
Wuhu,-1.0514718609077929,-0.6347339088339469,Phase0,1.228202023001313
Bengbu,-0.9090725506094984,-0.15066842852236192,Phase0,0.9214737530852722
Huainan,-0.9464063622224534,-0.21937725494368493,Phase0,0.9714995534954014
Ma'anshan,-1.125507841415156,-0.5460421698585735,Phase0,1.250971603335129
Huaibei,-0.7655974476386216,0.04447427445294298,Phase0,0.7668881358574323
Tongling,-0.9373676192106608,-0.7381503661609041,Phase0,1.1931152570511112
Anqing,-0.6602645773979384,-0.8016026799123163,Phase0,1.0385163304489178
Huangshan,-0.6799495568584969,-0.5300976128569639,Phase0,0.8621687068252465
Chuzhou,-1.0016316210979934,-0.3241606121662506,Phase0,1.0527801322514556
Suzhou,-0.767309727961867,0.04776449089474353,Phase0,0.7687949435417408
Lu'an,-0.7560418795645427,-0.25787895754521384,Phase0,0.7988121684101293
Xuancheng,-0.8198500943993821,-0.38754753627033695,Phase0,0.9068336507628528
Chaohu,-0.9965917156461748,-0.5174086346006792,Phase0,1.1229010387625107
Chizhou,-0.876841786117993,-1.112062567675396,Phase0,1.4161690126208053
Fuzhou,-0.7359584691747052,-0.5046786206704577,Phase0,0.8923762538928359
Xiamen,-0.6996806441243031,-0.416093957407382,Phase0,0.8140560086094419
Putian,-0.6467988426480432,-0.6843437171177854,Phase0,0.9416342527804709
Sanming,-0.15797277203436288,-0.2768219577202941,Phase0,0.3187252625386276
Quanzhou,-0.5839375578099787,-0.28693683171545803,Phase0,0.6506272487499946
Zhangzhou,-0.4669966570805677,-0.03094041517668709,Phase0,0.46802049849951133
Nanping,-0.183055292872658,-0.30461019564238173,Phase0,0.35538234556317605
Longyan,-0.03400037282837893,-0.17655976352938368,Phase0,0.17980371367138293
Ningde,-0.44395644168059023,-0.09686428005679663,Phase0,0.454400716175286
Lanzhou,-0.36749045428592864,-0.3190906575049552,Phase0,0.48669095091055764
Jiayuguan,0.1599928236217879,0.2884905835897191,Phase0,0.3298856171923978
Jinchang,0.2950888454414499,0.12926215465570964,Phase0,0.32215854998774207
Baiyin,-0.22146007787016136,0.1678240030674359,Phase0,0.2778659066813283
Tianshui,-0.5917377297527882,0.3254240833677994,Phase0,0.6753179805460211
Jiuquan,0.07755846746882125,-0.10994468650862364,Phase0,0.1345479467238045
Zhangye,0.2865368350770493,0.41343681141612304,Phase0,0.5030242090495278
Wuwei,0.04313009859595831,-0.1307860392429828,Phase0,0.13771417307512004
Dingxi,-0.43887944430496273,0.3585717245964696,Phase0,0.566735254165046
Longnan,-0.3212630656753169,0.1709834701462495,Phase0,0.363930356566138
Pingliang,-0.24591021376997305,0.2910547592601956,Phase0,0.3810311091294309
Qingyang,-0.00417872331909784,0.3617848753610247,Phase0,0.3618090073071285
Linxia Hui,-0.1842343429568672,-0.05563589474674323,Phase0,0.19245167161918664
Gannan Tibetan,0.2385541921122709,0.13572758308282748,Phase0,0.2744632568921459
